host_id,rating,reviews_count,bookings_served,cancellation_rate,last_active,reviews_text
101,4.9,80,150,0.2,2024-02-10,"Great service and very friendly!"
102,4.7,30,90,0.4,2024-01-25,"Average experience, could be better."
103,4.8,65,120,0.3,2024-02-05,"Smooth ride, excellent communication!"
104,4.6,40,70,0.3,2024-01-20,"Had some issues with the car but okay."
105,5.0,100,200,0.4,2024-02-12,"Perfect experience! Highly recommended."
106,4.5,20,50,0.2,2024-01-10,"Car was not clean, but host was nice."
107,4.9,55,140,0.2,2024-02-08,"Loved it! Will rent again."
108,4.2,15,40,0.1,2023-12-30,"Not a great experience, vehicle was old."
109,4.8,70,160,0.3,2024-02-07,"Super responsive and smooth rental."
110,4.3,25,60,0.5,2024-01-28,"The car was okay, but overpriced."
